county,topic,indicator,count,denom,unit,value,start_year,end_year,lat,lon
Albany,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,2043,3144,Percentage,21.7,2012,2014,42.678066,-73.814233
Allegany,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,399,487,Percentage,27.3,2012,2014,42.226801,-78.020567
Bronx,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,10032,21249,Percentage,15.7,2012,2014,40.85589,-73.868294
Broome,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,1654,2083,Percentage,26.5,2012,2014,42.122015,-75.933191
Capital Region,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,6273,9774,Percentage,21.4,2012,2014,NA,NA
Cattaraugus,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,597,915,Percentage,21.7,2012,2014,42.224267,-78.606673
Cayuga,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,600,774,Percentage,25.8,2012,2014,42.940095,-76.560755
Central NY,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,8201,11085,Percentage,24.7,2012,2014,NA,NA
Chautauqua,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,1055,1408,Percentage,25,2012,2014,42.246904,-79.315313
Chemung,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,823,986,Percentage,27.8,2012,2014,42.116644,-76.812331
Chenango,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,364,531,Percentage,22.8,2012,2014,42.481798,-75.570013
Clinton,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,490,755,Percentage,21.6,2012,2014,44.731944,-73.548883
Columbia,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,333,521,Percentage,21.3,2012,2014,42.276913,-73.682168
Cortland,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,319,470,Percentage,22.6,2012,2014,42.597101,-76.143291
Delaware,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,318,406,Percentage,26.1,2012,2014,42.242972,-74.997944
Dutchess,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,1627,2662,Percentage,20.4,2012,2014,41.686216,-73.840468
Erie,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,6191,9976,Percentage,20.7,2012,2014,42.888143,-78.795544
Essex,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,208,314,Percentage,22.1,2012,2014,44.166026,-73.685145
Finger Lakes,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,10062,13807,Percentage,24.3,2012,2014,NA,NA
Franklin,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,382,494,Percentage,25.8,2012,2014,44.705699,-74.340621
Fulton,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,350,528,Percentage,22.1,2012,2014,43.06014,-74.331296
Genesee,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,403,599,Percentage,22.4,2012,2014,43.000121,-78.172679
North Country,Cancer Indicators,"Cervix uteri cancer incidence rate per 100,000",35,148390,Rate,7.9,2010,2012,NA,NA
Greene,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,264,409,Percentage,21.5,2012,2014,42.298326,-73.973376
Hamilton,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,30,31,Percentage,32.3,2012,2014,43.618468,-74.395268
Herkimer,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,491,663,Percentage,24.7,2012,2014,43.070026,-74.994246
Jefferson,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,1530,2188,Percentage,23.3,2012,2014,44.019295,-75.898971
Kings,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,21937,41784,Percentage,17.5,2012,2014,40.65642,-73.950691
Lewis,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,287,339,Percentage,28.2,2012,2014,43.785537,-75.446296
Livingston,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,394,518,Percentage,25.4,2012,2014,42.763754,-77.765392
Long Island,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,15977,29660,Percentage,18,2012,2014,NA,NA
Madison,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,437,666,Percentage,21.9,2012,2014,42.986917,-75.720031
Mid-Hudson,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,15060,26027,Percentage,19.3,2012,2014,NA,NA
Mohawk Valley,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,1870,2571,Percentage,24.2,2012,2014,NA,NA
Monroe,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,5856,8338,Percentage,23.4,2012,2014,43.161748,-77.620143
Montgomery,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,454,592,Percentage,25.6,2012,2014,42.933637,-74.341972
Nassau,Family Planning/Natality Indicators,Percentage of births within 24 months of previous pregnancy,7151,14051,Percentage,17,2012,2014,40.715749,-73.601185
