,NTA_Code,PreventHospDiab
0,BX31,354.2
1,SI01,101.3
2,SI48,176.7
3,QN70,188.3
4,QN48,129.4
5,QN76,479.4
6,BK27,101.6
7,MN25,95.7
8,BK31,152.1
9,QN46,94.6
10,BK75,472.3
11,BX05,504.5
12,QN43,172.2
13,BX06,691.6
14,BK29,144.9
15,BK28,144.5
16,BK88,153.6
17,QN10,206.4
18,QN35,191.1
19,BK19,171.1
20,BX07,423.0
21,BK09,79.7
22,BK81,729.5
23,BK77,428.9
24,BK78,509.8
25,QN33,264.7
26,BK50,409.7
27,BK33,328.5
28,MN03,503.4
29,MN11,452.3
30,SI11,161.3
31,MN27,156.0
32,BX01,786.0
33,MN15,159.0
34,BK69,356.1
35,BX13,430.1
36,QN23,185.6
37,QN25,296.1
38,BX75,597.5
39,BK61,545.8
40,BK63,368.4
41,BK83,432.2
42,QN45,60.1
43,BK38,476.1
44,BK30,143.6
45,BX14,574.1
46,QN27,319.1
47,BK91,367.7
48,QN52,97.9
49,MN34,604.9
50,MN33,523.8
51,BK82,646.0
52,BK85,626.7
53,BX17,766.6
54,MN22,177.2
55,BK90,255.9
56,BX03,467.5
57,QN29,168.3
58,QN50,104.9
59,BK95,455.4
60,QN15,456.6
61,BK42,326.6
62,BK58,300.4
63,QN22,122.4
64,BX40,699.0
65,QN17,112.5
66,BK68,495.5
67,QN41,88.9
68,QN47,91.6
69,BK45,167.9
70,QN44,74.5
71,QN19,193.5
72,MN21,181.3
73,SI14,134.4
74,BK26,245.1
75,SI54,149.2
76,BK76,134.9
77,SI08,316.2
78,MN04,337.0
79,QN12,502.9
80,BX26,473.0
81,QN07,291.4
82,BK25,114.7
83,MN13,151.4
84,QN31,162.6
85,BX27,664.9
86,QN28,146.2
87,QN61,326.2
88,QN06,180.9
89,BK41,249.2
90,QN60,175.8
91,QN37,136.5
92,BX30,520.1
93,QN66,275.7
94,MN31,83.5
95,MN14,83.9
96,QN57,134.7
97,BX33,660.4
98,MN28,325.1
99,BK44,125.1
100,MN06,357.0
101,MN01,300.3
102,SI12,448.5
103,QN30,167.7
104,BX34,735.7
105,QN21,164.1
106,MN17,112.8
107,BK43,218.7
108,MN09,260.9
109,BX35,598.7
110,BX39,798.0
111,BX41,579.1
112,QN51,95.7
113,MN20,156.5
114,SI35,261.6
115,SI45,191.2
116,SI05,187.4
117,QN26,231.0
118,BX22,162.2
119,BK73,209.9
120,BX43,544.0
121,QN42,95.7
122,SI25,185.5
123,BK79,721.8
124,BK46,149.9
125,QN71,292.6
126,SI36,236.2
127,QN56,245.4
128,BK37,205.1
129,BX46,368.3
130,BX10,138.0
131,BX49,264.4
132,QN38,191.9
133,SI28,317.1
134,BK64,260.7
135,BK60,431.3
136,QN34,272.0
137,QN62,129.2
138,QN68,472.0
139,QN18,99.5
140,QN54,258.2
141,QN20,200.8
142,QN05,235.4
143,SI32,131.6
144,BK96,402.7
145,BX52,241.3
146,BK21,637.9
147,BK17,213.4
148,MN24,75.4
149,BX55,428.2
150,BX09,431.3
151,QN01,500.4
152,QN55,274.1
153,QN02,415.2
154,QN03,375.7
155,BX29,250.2
156,QN08,355.1
157,SI37,463.5
158,BK93,460.8
159,QN72,113.7
160,BK35,511.7
161,MN50,28.7
162,BK34,195.5
163,BK32,368.3
164,SI24,157.9
165,MN19,50.1
166,BX36,585.6
167,MN40,45.5
168,MN12,171.3
169,BX28,320.9
170,BX37,319.3
171,MN35,248.0
172,MN36,328.4
173,BK23,149.9
174,BX63,480.2
175,BX08,382.7
176,SI22,632.1
177,MN23,44.3
178,BX59,316.0
179,SI07,165.7
180,QN49,109.1
181,BX44,536.3
182,BK72,250.7
183,BK40,122.2
184,QN53,276.7
185,BX62,277.8
186,QN63,188.4
187,MN32,106.1
